key,values,condition_text,condition_code_polygons,condition_code_points,CODE US,Comment
building,all others,amenity is None AND building:use is None,"lambda x : (x[""amenity""] is None) and ( (x[""other_tags""] is None) or ( x[""other_tags""] is not None and ('""building:use""=>' not in x[""other_tags""]) ) )","lambda x : ( (x[""other_tags""] is None) or ( x[""other_tags""] is not None and ('""amenity""=>' not in x[""other_tags""])  and ('""building:use""=>' not in x[""other_tags""])) )",unknown,"(LU1, 2, 3 ou 5) The building key represents the original use of the building"
building:use,all others,,,,unknown,"(LU1, 2, 3 ou 5)"
historic,any,,,,unknown,"(LU1, 3, 5 ou 6)"
building,"'silo', 'farm', 'greenhouse', 'farm_auxiliary', 'barn', 'cowshed', 'slurry_tank', 'stable', 'sty'",amenity is None AND building:use is None,"lambda x : (x[""amenity""] is None) and ( (x[""other_tags""] is None) or ( x[""other_tags""] is not None and ('""building:use""=>' not in x[""other_tags""]) ) )","lambda x : ( (x[""other_tags""] is None) or ( x[""other_tags""] is not None and ('""amenity""=>' not in x[""other_tags""])  and ('""building:use""=>' not in x[""other_tags""])) )",LU1_1,The building key represents the original use of the building
building:use,"'silo', 'farm', 'greenhouse', 'farm_auxiliary', 'barn', 'cowshed', 'slurry_tank', 'stable', 'sty'",,,,LU1_1,
craft,"'agricultural_engines', 'grinding_mill', 'oil_mill', 'winery'",,,,LU1_1,
landuse,"'farmland', 'farmyard',  'meadow', 'orchard', 'vineyard', 'greenhouse_horticulture'",,,,LU1_1_landuse,
craft,'sawmill',,,,LU1_2,
landuse,'forest',,,,LU1_2,
landuse,"'salt_pond', 'quarry'",,,,LU1_3,
man_made,"'adit', 'mineshaft', 'offshore_platform', 'petroleum_well'",,,,LU1_3,
landuse,'aquaculture',,,,LU1_4,
building,"'industrial',  'storage_tank', 'digester'",amenity is None AND building:use is None,"lambda x : (x[""amenity""] is None) and ( (x[""other_tags""] is None) or ( x[""other_tags""] is not None and ('""building:use""=>' not in x[""other_tags""]) ) )","lambda x : ( (x[""other_tags""] is None) or ( x[""other_tags""] is not None and ('""amenity""=>' not in x[""other_tags""])  and ('""building:use""=>' not in x[""other_tags""])) )",LU2,The building key represents the original use of the building
building:use,"'industrial',  'storage_tank', 'digester'",,,,LU2,
